person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,probability_of_default,risk_segment
22,45000,Rent,3.0,Education,B,5500,10.38,0,0.12,N,2,0.0,Low Risk
22,48000,Rent,3.0,Education,B,5500,11.49,0,0.11,N,4,0.0,Low Risk
25,48000,Rent,3.0,Medical,A,5500,7.49,0,0.11,N,4,0.0,Low Risk
23,48880,Rent,2.0,Education,B,5500,10.99,0,0.11,N,3,0.0,Low Risk
21,44000,Rent,0.0,Personal,D,5500,15.28,1,0.13,N,3,0.98,High Risk
22,50000,Rent,6.0,Debt Consolidation,A,5500,7.14,0,0.11,N,3,0.0,Low Risk
23,47000,Own,4.0,Medical,A,7000,7.51,0,0.15,N,3,0.01,Low Risk
21,47000,Mortgage,5.0,Personal,A,7000,7.14,0,0.15,N,3,0.0,Low Risk
23,47000,Mortgage,8.0,Venture,A,7500,7.51,0,0.16,N,4,0.0,Low Risk
23,54000,Rent,3.0,Venture,A,5500,8.94,0,0.1,N,3,0.0,Low Risk
24,54000,Rent,6.0,Debt Consolidation,A,5500,8.07,0,0.1,N,2,0.01,Low Risk
23,55000,Rent,0.0,Personal,B,5500,11.71,0,0.1,N,4,0.09,Low Risk
22,56000,Rent,7.0,Education,A,5500,9.38,0,0.1,N,3,0.02,Low Risk
24,47000,Mortgage,0.0,Medical,A,9000,8.94,0,0.19,N,3,0.01,Low Risk
26,51000,Rent,3.0,Home Improvement,C,5500,13.49,1,0.11,Y,2,0.71,High Risk
25,57000,Rent,1.0,Home Improvement,B,5500,10.99,0,0.1,N,4,0.12,Low Risk
26,51600,Rent,10.0,Home Improvement,B,5500,11.99,1,0.11,N,3,0.8,High Risk
21,59000,Rent,1.0,Education,A,5500,5.42,0,0.09,N,2,0.03,Low Risk
22,41000,Mortgage,6.0,Education,C,10000,13.57,1,0.24,N,4,0.65,High Risk
22,60000,Rent,0.0,Medical,A,5500,7.88,0,0.09,N,2,0.02,Low Risk
24,47000,Mortgage,5.0,Debt Consolidation,C,10000,13.79,0,0.21,Y,4,0.05,Low Risk
24,47000,Mortgage,3.0,Home Improvement,B,12000,12.21,0,0.26,N,4,0.02,Low Risk
25,41000,Mortgage,9.0,Education,C,5000,11.78,1,0.12,Y,3,0.73,High Risk
23,62000,Rent,7.0,Venture,D,5500,17.49,0,0.09,N,3,0.08,Low Risk
26,62400,Rent,0.0,Personal,B,5500,9.76,0,0.09,N,4,0.03,Low Risk
24,41000,Mortgage,1.0,Medical,B,6600,10.71,1,0.16,N,2,0.69,High Risk
24,62472,Rent,2.0,Education,C,5500,12.73,0,0.09,N,2,0.03,Low Risk
24,64000,Rent,3.0,Education,B,5500,10.75,0,0.09,N,4,0.02,Low Risk
24,72000,Rent,8.0,Education,B,5500,9.91,0,0.08,N,3,0.01,Low Risk
24,72996,Rent,2.0,Personal,B,5500,11.49,0,0.08,N,3,0.03,Low Risk
24,73700,Rent,0.0,Venture,C,5500,14.65,0,0.07,N,3,0.06,Low Risk
26,90000,Rent,0.0,Education,B,5525,11.36,0,0.06,N,4,0.01,Low Risk
24,47110,Mortgage,0.0,Personal,B,11000,10.99,0,0.23,N,4,0.06,Low Risk
24,22000,Rent,0.0,Personal,C,5550,12.41,1,0.25,N,3,0.75,High Risk
23,24000,Rent,7.0,Venture,C,5550,12.53,0,0.23,N,4,0.02,Low Risk
22,31000,Rent,5.0,Medical,B,5550,11.36,1,0.18,N,3,0.75,High Risk
22,47004,Rent,2.0,Venture,A,5550,7.49,0,0.12,N,4,0.0,Low Risk
21,47200,Mortgage,1.0,Medical,C,7000,13.23,0,0.15,N,4,0.05,Low Risk
24,47211,Own,8.0,Venture,B,10000,11.83,0,0.21,N,3,0.01,Low Risk
25,28800,Rent,5.0,Personal,A,5575,6.62,0,0.19,N,4,0.06,Low Risk
22,41244,Mortgage,6.0,Debt Consolidation,B,11500,11.58,1,0.28,N,3,0.64,High Risk
22,14400,Rent,1.0,Venture,D,5600,14.59,1,0.39,Y,2,1.0,High Risk
21,18000,Rent,1.0,Home Improvement,F,5600,18.09,1,0.31,N,4,1.0,High Risk
26,47300,Mortgage,3.0,Venture,B,6000,12.69,0,0.13,N,4,0.0,Low Risk
24,47300,Mortgage,5.0,Personal,A,9500,8.49,0,0.2,N,2,0.01,Low Risk
24,19200,Rent,0.0,Debt Consolidation,A,5600,8.9,1,0.29,N,2,0.95,High Risk
24,19800,Rent,1.0,Debt Consolidation,A,5600,5.79,1,0.28,N,3,0.91,High Risk
25,47412,Mortgage,0.0,Education,A,6500,8.59,0,0.14,N,2,0.0,Low Risk
22,47472,Mortgage,6.0,Venture,B,20000,11.83,0,0.42,N,3,0.04,Low Risk
24,24000,Rent,0.0,Medical,C,5600,12.73,0,0.23,N,4,0.06,Low Risk
22,47484,Mortgage,0.0,Education,B,5325,10.62,0,0.11,N,4,0.0,Low Risk
23,25000,Rent,3.0,Medical,B,5600,11.11,0,0.22,N,4,0.04,Low Risk
21,25000,Rent,5.0,Venture,A,5600,7.29,0,0.22,N,2,0.02,Low Risk
22,26000,Rent,0.0,Debt Consolidation,A,5600,8.0,0,0.22,N,2,0.02,Low Risk
24,47500,Mortgage,7.0,Debt Consolidation,B,12000,9.91,0,0.25,N,3,0.03,Low Risk
22,47500,Mortgage,6.0,Venture,A,6000,7.9,0,0.13,N,3,0.01,Low Risk
24,28000,Rent,0.0,Personal,D,5600,14.12,1,0.2,Y,2,1.0,High Risk
24,47500,Mortgage,3.0,Medical,B,13750,11.71,0,0.29,N,4,0.04,Low Risk
21,30000,Rent,1.0,Personal,D,5600,14.46,1,0.19,N,2,0.98,High Risk
21,30000,Rent,3.0,Education,C,5600,13.61,0,0.19,Y,2,0.06,Low Risk
24,30996,Rent,2.0,Medical,A,5600,7.49,0,0.18,N,2,0.01,Low Risk
24,47500,Mortgage,8.0,Home Improvement,A,7000,7.74,0,0.15,N,3,0.03,Low Risk
22,32000,Rent,3.0,Debt Consolidation,A,5600,7.9,0,0.17,N,3,0.02,Low Risk
25,33600,Rent,6.0,Medical,B,5600,9.25,0,0.17,N,3,0.08,Low Risk
22,47540,Mortgage,4.0,Medical,B,12250,10.62,0,0.26,N,2,0.02,Low Risk
22,47580,Mortgage,6.0,Medical,A,4000,6.62,0,0.08,N,2,0.0,Low Risk
21,47580,Mortgage,5.0,Education,A,14000,6.03,0,0.29,N,2,0.0,Low Risk
25,29004,Rent,0.0,Personal,C,5600,13.79,1,0.19,N,4,0.68,High Risk
23,36000,Rent,1.0,Medical,A,5600,7.9,0,0.16,N,4,0.02,Low Risk
26,41682,Mortgage,7.0,Debt Consolidation,C,18000,13.22,1,0.43,Y,3,0.72,High Risk
25,47700,Mortgage,1.0,Home Improvement,A,12375,7.9,0,0.26,N,4,0.01,Low Risk
25,36276,Rent,0.0,Education,B,5600,9.99,0,0.15,N,4,0.03,Low Risk
24,38000,Rent,5.0,Debt Consolidation,A,5600,6.62,0,0.15,N,4,0.01,Low Risk
22,47748,Mortgage,5.0,Personal,A,4500,6.39,0,0.09,N,4,0.01,Low Risk
21,47760,Mortgage,2.0,Personal,A,15000,6.03,0,0.31,N,2,0.05,Low Risk
22,47800,Mortgage,5.0,Personal,C,1500,13.43,0,0.03,Y,3,0.03,Low Risk
22,47800,Mortgage,3.0,Medical,B,15000,11.86,0,0.31,N,4,0.06,Low Risk
22,33000,Rent,0.0,Medical,C,5600,13.23,1,0.17,Y,4,0.63,High Risk
23,40000,Rent,7.0,Education,C,5600,13.8,0,0.14,N,3,0.04,Low Risk
25,40000,Rent,9.0,Medical,D,5600,14.61,0,0.14,Y,4,0.32,Medium Risk
25,40800,Rent,9.0,Personal,D,5600,16.77,0,0.14,N,3,0.06,Low Risk
26,41000,Rent,10.0,Debt Consolidation,C,5600,15.96,0,0.14,N,4,0.12,Low Risk
25,42000,Rent,6.0,Medical,A,5600,7.49,0,0.13,N,2,0.01,Low Risk
26,43860,Rent,6.0,Venture,B,5600,9.63,0,0.13,N,2,0.02,Low Risk
26,48000,Mortgage,10.0,Debt Consolidation,C,11000,13.49,0,0.23,N,3,0.03,Low Risk
22,39000,Rent,1.0,Home Improvement,D,5600,14.96,1,0.14,N,4,0.99,High Risk
21,48000,Mortgage,5.0,Venture,B,7350,10.65,0,0.15,N,2,0.0,Low Risk
24,48000,Own,8.0,Venture,C,2200,15.27,0,0.05,Y,4,0.02,Low Risk
24,47700,Rent,0.0,Medical,B,5600,9.99,0,0.12,N,2,0.01,Low Risk
24,48000,Rent,7.0,Medical,B,5600,11.14,0,0.12,N,3,0.04,Low Risk
24,48000,Rent,7.0,Personal,B,5600,10.62,0,0.12,N,2,0.03,Low Risk
23,50000,Rent,3.0,Medical,B,5600,11.49,0,0.11,N,4,0.06,Low Risk
23,50000,Rent,0.0,Medical,C,5600,11.03,0,0.11,Y,4,0.03,Low Risk
23,50004,Rent,3.0,Education,B,5600,10.59,0,0.11,N,4,0.02,Low Risk
26,51000,Rent,5.0,Personal,A,5600,7.49,0,0.11,N,2,0.02,Low Risk
24,52000,Rent,2.0,Medical,A,5600,7.29,0,0.11,N,2,0.0,Low Risk
22,52800,Rent,3.0,Education,A,5600,7.29,0,0.11,N,3,0.0,Low Risk
24,54000,Rent,3.0,Venture,B,5600,10.59,0,0.1,N,4,0.0,Low Risk
23,48000,Mortgage,7.0,Education,B,10000,10.65,0,0.21,N,4,0.02,Low Risk
22,54000,Rent,4.0,Venture,B,5600,9.63,0,0.1,N,2,0.0,Low Risk
23,48000,Own,5.0,Medical,B,2400,12.69,0,0.05,N,4,0.01,Low Risk
21,55692,Rent,5.0,Personal,A,5600,6.62,0,0.1,N,2,0.02,Low Risk
24,56000,Rent,8.0,Education,A,5600,6.03,0,0.1,N,3,0.04,Low Risk
26,56000,Rent,4.0,Medical,A,5600,8.59,0,0.1,N,4,0.0,Low Risk
22,56000,Rent,6.0,Medical,A,5600,8.32,0,0.1,N,2,0.02,Low Risk
25,48000,Mortgage,0.0,Medical,C,23500,13.49,0,0.49,Y,4,0.19,Low Risk
22,48000,Own,6.0,Venture,A,12000,6.03,0,0.25,N,3,0.0,Low Risk
22,60000,Rent,6.0,Personal,B,5600,10.65,0,0.09,N,4,0.01,Low Risk
23,60000,Rent,1.0,Personal,A,5600,7.29,0,0.09,N,2,0.0,Low Risk
21,60000,Rent,3.0,Debt Consolidation,B,5600,9.25,0,0.09,N,3,0.02,Low Risk
22,48000,Own,0.0,Venture,D,1500,16.29,0,0.03,N,3,0.04,Low Risk
23,63000,Rent,0.0,Debt Consolidation,A,5600,8.49,0,0.09,N,4,0.01,Low Risk
24,60500,Rent,2.0,Personal,D,5600,14.91,1,0.09,N,3,0.98,High Risk
25,68515,Rent,2.0,Medical,C,5600,12.61,0,0.08,N,3,0.04,Low Risk
24,69000,Rent,1.0,Venture,B,5600,9.99,0,0.08,N,3,0.01,Low Risk
22,48000,Mortgage,0.0,Medical,A,5000,6.03,0,0.1,N,4,0.08,Low Risk
23,48000,Mortgage,7.0,Debt Consolidation,B,2500,11.71,0,0.05,N,3,0.06,Low Risk
23,69996,Rent,7.0,Venture,C,5600,13.11,0,0.08,Y,2,0.05,Low Risk
25,70000,Rent,3.0,Medical,A,5600,7.9,0,0.08,N,4,0.0,Low Risk
23,48000,Own,7.0,Education,B,20000,11.71,0,0.42,N,4,0.02,Low Risk
26,48000,Mortgage,10.0,Venture,C,13800,13.49,0,0.29,Y,2,0.01,Low Risk
22,70000,Rent,3.0,Personal,B,5600,11.14,0,0.08,N,3,0.02,Low Risk
23,72000,Rent,7.0,Venture,B,5600,11.12,0,0.08,N,2,0.0,Low Risk
23,48000,Mortgage,8.0,Venture,A,10500,7.51,0,0.22,N,2,0.01,Low Risk
23,48000,Mortgage,8.0,Personal,B,10000,10.65,0,0.21,N,3,0.02,Low Risk
25,48000,Own,0.0,Personal,B,6000,10.65,0,0.13,N,2,0.02,Low Risk
25,58650,Rent,7.0,Medical,D,5600,14.84,1,0.08,N,4,1.0,High Risk
23,79000,Rent,4.0,Medical,B,5600,11.12,0,0.07,N,4,0.08,Low Risk
25,81600,Rent,2.0,Education,A,5600,5.99,0,0.07,N,4,0.0,Low Risk
21,89610,Rent,3.0,Debt Consolidation,A,5600,6.54,0,0.06,N,4,0.0,Low Risk
23,48000,Own,7.0,Medical,A,2500,5.42,0,0.05,N,3,0.0,Low Risk
26,102552,Rent,10.0,Medical,B,5600,9.99,0,0.05,N,3,0.03,Low Risk
24,25000,Rent,0.0,Debt Consolidation,C,5625,12.68,0,0.23,N,4,0.05,Low Risk
25,48000,Mortgage,9.0,Medical,A,3500,5.42,0,0.07,N,4,0.02,Low Risk
22,51000,Rent,6.0,Venture,B,5650,9.91,0,0.11,N,4,0.0,Low Risk
26,48000,Mortgage,10.0,Personal,B,2000,10.99,0,0.04,N,2,0.05,Low Risk
25,48000,Mortgage,3.0,Medical,C,1400,14.79,0,0.03,Y,4,0.04,Low Risk
22,48000,Mortgage,6.0,Debt Consolidation,A,4400,5.99,0,0.09,N,3,0.0,Low Risk
23,67200,Rent,7.0,Education,C,5650,13.47,0,0.08,N,2,0.02,Low Risk
24,11476,Rent,0.0,Medical,A,5700,7.49,1,0.5,N,4,1.0,High Risk
22,35000,Rent,1.0,Education,C,5700,12.99,0,0.16,N,3,0.04,Low Risk
22,37000,Rent,4.0,Education,A,5700,5.42,0,0.15,N,4,0.02,Low Risk
22,48000,Mortgage,2.0,Venture,B,13000,10.99,0,0.27,N,3,0.0,Low Risk
24,46000,Rent,8.0,Debt Consolidation,A,5700,7.66,0,0.12,N,3,0.02,Low Risk
26,48000,Mortgage,2.0,Education,A,5000,8.49,0,0.1,N,4,0.03,Low Risk
26,52500,Rent,0.0,Debt Consolidation,B,5700,11.12,0,0.11,N,2,0.01,Low Risk
21,17000,Rent,3.0,Medical,A,5750,8.9,1,0.34,N,2,1.0,High Risk
24,34000,Rent,1.0,Venture,B,5750,10.75,0,0.17,N,3,0.01,Low Risk
24,48000,Mortgage,8.0,Medical,A,10000,7.49,0,0.21,N,3,0.01,Low Risk
22,45900,Rent,3.0,Education,A,5750,8.94,0,0.13,N,3,0.01,Low Risk
25,70000,Rent,1.0,Venture,A,5750,8.0,0,0.08,N,4,0.0,Low Risk
22,48000,Mortgage,6.0,Debt Consolidation,C,10000,13.49,0,0.21,Y,4,0.0,Low Risk
25,85000,Rent,9.0,Education,A,5750,7.29,0,0.07,N,4,0.01,Low Risk
24,48000,Own,5.0,Venture,A,4400,5.99,0,0.09,N,4,0.0,Low Risk
25,147750,Rent,3.0,Home Improvement,B,5750,9.99,0,0.04,N,4,0.01,Low Risk
23,30900,Rent,1.0,Personal,A,5775,9.63,1,0.19,N,4,0.69,High Risk
25,48000,Mortgage,7.0,Venture,B,3000,11.99,0,0.06,N,4,0.0,Low Risk
24,120000,Rent,0.0,Venture,A,5775,6.17,0,0.05,N,2,0.0,Low Risk
21,18000,Rent,2.0,Debt Consolidation,C,5800,14.72,1,0.32,Y,4,1.0,High Risk
25,48000,Mortgage,6.0,Venture,A,3200,6.99,0,0.07,N,2,0.0,Low Risk
22,20400,Rent,2.0,Education,A,5800,8.94,0,0.28,N,4,0.04,Low Risk
23,25000,Rent,0.0,Medical,B,5800,9.91,0,0.23,N,4,0.01,Low Risk
24,48000,Mortgage,4.0,Medical,B,4200,11.99,0,0.09,N,4,0.14,Low Risk
23,48000,Mortgage,5.0,Education,C,5000,13.99,0,0.1,Y,2,0.04,Low Risk
26,27000,Rent,1.0,Medical,B,5800,10.65,0,0.21,N,3,0.04,Low Risk
23,27252,Rent,3.0,Venture,C,5800,13.06,0,0.21,N,4,0.07,Low Risk
26,48000,Mortgage,10.0,Home Improvement,A,4000,5.42,0,0.08,N,2,0.04,Low Risk
24,35020,Rent,0.0,Medical,A,5800,8.32,0,0.17,N,3,0.0,Low Risk
22,48000,Own,6.0,Venture,A,4800,8.49,0,0.1,N,4,0.0,Low Risk
22,41300,Rent,1.0,Venture,A,5800,7.43,0,0.14,N,3,0.0,Low Risk
24,48000,Mortgage,4.0,Education,A,5000,5.99,0,0.1,N,2,0.0,Low Risk
24,48000,Mortgage,8.0,Personal,A,3200,5.99,0,0.07,N,4,0.0,Low Risk
25,48000,Mortgage,9.0,Debt Consolidation,C,1000,13.49,0,0.02,Y,3,0.01,Low Risk
22,45000,Rent,3.0,Medical,A,5800,7.88,0,0.13,N,3,0.0,Low Risk
26,48000,Mortgage,9.0,Personal,B,8000,10.59,0,0.17,N,4,0.04,Low Risk
23,42000,Mortgage,3.0,Debt Consolidation,C,1800,12.99,1,0.04,Y,3,0.65,High Risk
26,144000,Rent,0.0,Debt Consolidation,A,5800,7.29,0,0.04,N,3,0.01,Low Risk
26,48000,Own,3.0,Venture,C,3600,13.49,0,0.07,N,4,0.02,Low Risk
23,12000,Rent,0.0,Personal,A,5825,6.62,1,0.49,N,4,1.0,High Risk
22,25000,Rent,4.0,Medical,C,5825,14.27,0,0.23,N,2,0.05,Low Risk
26,26000,Rent,5.0,Medical,C,5825,14.27,0,0.22,Y,4,0.07,Low Risk
23,42000,Mortgage,7.0,Education,A,10500,7.66,1,0.25,N,2,0.66,High Risk
23,50000,Rent,8.0,Medical,B,5825,10.65,0,0.12,N,2,0.01,Low Risk
22,48000,Mortgage,1.0,Personal,B,4000,9.63,0,0.08,N,2,0.03,Low Risk
23,48000,Own,4.0,Venture,B,7000,10.74,0,0.15,N,4,0.0,Low Risk
24,48000,Mortgage,4.0,Medical,A,4000,5.42,0,0.08,N,4,0.0,Low Risk
24,60000,Rent,4.0,Venture,A,5850,7.49,0,0.1,N,3,0.0,Low Risk
25,48000,Mortgage,3.0,Debt Consolidation,B,4800,10.74,0,0.1,N,4,0.01,Low Risk
25,19200,Rent,5.0,Education,D,5875,14.11,1,0.31,N,3,0.98,High Risk
26,40000,Rent,4.0,Venture,B,5875,12.69,0,0.15,N,2,0.0,Low Risk
26,49680,Rent,1.0,Medical,C,5875,12.99,0,0.12,Y,3,0.02,Low Risk
23,56000,Rent,3.0,Education,D,5875,14.54,0,0.1,N,2,0.06,Low Risk
21,14400,Rent,2.0,Education,B,5900,12.42,1,0.41,N,3,0.99,High Risk
24,23000,Rent,4.0,Personal,A,5900,9.63,0,0.26,N,4,0.04,Low Risk
23,30000,Rent,5.0,Education,A,5900,7.88,0,0.2,N,2,0.07,Low Risk
26,36800,Rent,0.0,Personal,B,5900,10.71,0,0.16,N,3,0.05,Low Risk
25,34000,Rent,0.0,Home Improvement,B,5925,11.11,1,0.17,N,4,0.92,High Risk
24,48000,Own,2.0,Education,C,15000,13.06,0,0.31,N,4,0.04,Low Risk
23,29376,Rent,3.0,Venture,A,5950,7.66,0,0.2,N,2,0.01,Low Risk
24,48000,Mortgage,7.0,Medical,A,12000,7.29,0,0.25,N,3,0.02,Low Risk
25,78000,Rent,3.0,Home Improvement,A,5950,7.29,0,0.08,N,3,0.02,Low Risk
24,46000,Rent,0.0,Education,D,5975,14.46,1,0.13,Y,2,0.95,High Risk
22,12000,Rent,0.0,Debt Consolidation,B,6000,8.88,1,0.5,N,4,1.0,High Risk
25,13440,Rent,3.0,Medical,A,6000,7.49,1,0.45,N,3,1.0,High Risk
24,14880,Rent,2.0,Education,B,6000,10.0,1,0.4,N,3,1.0,High Risk
22,15000,Rent,6.0,Medical,A,6000,6.03,1,0.4,N,3,0.97,High Risk
22,15000,Rent,3.0,Education,D,6000,14.59,1,0.4,N,4,0.97,High Risk
21,16000,Rent,5.0,Venture,B,6000,9.63,1,0.38,N,3,1.0,High Risk
24,48000,Mortgage,3.0,Debt Consolidation,B,4800,9.99,0,0.1,N,2,0.04,Low Risk
24,16800,Rent,2.0,Debt Consolidation,D,6000,14.84,1,0.36,Y,4,1.0,High Risk
26,17376,Rent,1.0,Venture,B,6000,10.99,1,0.35,N,3,1.0,High Risk
26,48000,Mortgage,4.0,Personal,A,10000,5.79,0,0.21,N,3,0.01,Low Risk
22,18000,Rent,2.0,Venture,A,6000,6.62,1,0.33,N,2,0.99,High Risk
24,18000,Rent,8.0,Personal,B,6000,12.21,1,0.33,N,2,1.0,High Risk
22,18200,Rent,4.0,Home Improvement,A,6000,7.66,1,0.33,N,3,1.0,High Risk
22,18996,Rent,4.0,Medical,D,6000,14.74,1,0.32,Y,3,1.0,High Risk
23,42000,Mortgage,5.0,Education,D,2000,15.2,1,0.05,Y,2,0.6,High Risk
22,48000,Mortgage,0.0,Medical,A,3500,6.54,0,0.07,N,3,0.08,Low Risk
23,19000,Rent,2.0,Education,C,6000,10.59,1,0.32,N,2,1.0,High Risk
24,19200,Rent,0.0,Education,B,6000,10.59,1,0.31,N,3,1.0,High Risk
25,19200,Rent,3.0,Medical,A,6000,7.14,1,0.31,N,3,0.99,High Risk
21,19200,Rent,0.0,Personal,B,6000,9.88,1,0.31,N,2,1.0,High Risk
25,19200,Rent,2.0,Home Improvement,C,6000,13.11,1,0.31,Y,2,1.0,High Risk
22,48000,Mortgage,4.0,Personal,A,6500,6.17,0,0.14,N,2,0.0,Low Risk
24,20000,Rent,8.0,Venture,A,6000,7.14,0,0.3,N,2,0.05,Low Risk
24,48000,Mortgage,5.0,Home Improvement,A,17000,6.91,0,0.35,N,4,0.02,Low Risk
24,48000,Own,4.0,Education,A,3000,5.79,0,0.06,N,4,0.0,Low Risk
26,20400,Rent,0.0,Venture,B,6000,9.99,0,0.29,N,2,0.02,Low Risk
22,21300,Rent,0.0,Debt Consolidation,C,6000,15.96,0,0.28,Y,3,0.14,Low Risk
23,48000,Own,5.0,Venture,B,2550,11.86,0,0.05,N,3,0.0,Low Risk
26,21600,Rent,3.0,Medical,B,6000,10.59,0,0.28,N,4,0.0,Low Risk
23,21600,Rent,2.0,Medical,D,6000,14.42,1,0.28,N,4,0.99,High Risk
25,21812,Rent,7.0,Education,C,6000,14.72,0,0.28,Y,2,0.08,Low Risk
23,21996,Rent,6.0,Venture,C,6000,13.47,0,0.27,Y,3,0.03,Low Risk
22,48000,Mortgage,2.0,Medical,B,9600,11.86,0,0.2,N,2,0.01,Low Risk
21,22600,Rent,3.0,Education,C,6000,12.23,0,0.27,N,4,0.02,Low Risk
25,22800,Rent,0.0,Medical,C,6000,13.35,1,0.26,N,4,0.7,High Risk
22,48000,Mortgage,5.0,Education,A,9600,7.51,0,0.2,N,4,0.03,Low Risk
22,22880,Rent,5.0,Debt Consolidation,C,6000,13.57,0,0.26,Y,4,0.03,Low Risk
23,22884,Rent,8.0,Education,B,6000,11.49,0,0.26,N,3,0.04,Low Risk
21,23000,Rent,5.0,Education,B,6000,10.95,0,0.26,N,2,0.02,Low Risk
22,48000,Mortgage,4.0,Personal,B,4000,11.86,0,0.08,N,2,0.01,Low Risk
21,23040,Rent,0.0,Home Improvement,A,6000,7.9,1,0.26,N,2,0.92,High Risk
25,23198,Rent,2.0,Venture,A,6000,8.0,0,0.26,N,4,0.01,Low Risk
22,24000,Rent,6.0,Medical,B,6000,10.65,0,0.25,N,4,0.02,Low Risk
25,48000,Mortgage,3.0,Debt Consolidation,A,4000,7.14,0,0.08,N,3,0.0,Low Risk
26,24000,Rent,5.0,Medical,A,6000,8.9,0,0.25,N,3,0.02,Low Risk
25,48000,Mortgage,4.0,Personal,B,7350,11.12,0,0.15,N,2,0.02,Low Risk
26,24000,Rent,5.0,Debt Consolidation,A,6000,6.62,0,0.25,N,4,0.01,Low Risk
24,48000,Mortgage,4.0,Personal,A,1200,6.76,0,0.03,N,3,0.08,Low Risk
23,24000,Rent,4.0,Education,A,6000,5.42,0,0.25,N,4,0.03,Low Risk
24,24000,Rent,1.0,Medical,B,6000,11.99,0,0.25,N,4,0.03,Low Risk
23,48000,Mortgage,0.0,Education,A,3200,7.51,0,0.07,N,2,0.0,Low Risk
26,48000,Own,10.0,Venture,B,15000,11.12,0,0.31,N,3,0.0,Low Risk
25,48000,Mortgage,6.0,Education,B,24250,10.25,0,0.51,N,3,0.01,Low Risk
22,48000,Mortgage,2.0,Education,C,7000,13.48,0,0.15,N,3,0.0,Low Risk
22,48000,Mortgage,6.0,Education,A,5000,7.88,0,0.1,N,2,0.02,Low Risk
21,24000,Rent,2.0,Medical,B,6000,11.36,0,0.25,N,3,0.06,Low Risk
22,24000,Rent,2.0,Home Improvement,B,6000,12.18,1,0.25,N,3,0.9,High Risk
21,24996,Rent,6.0,Debt Consolidation,C,6000,13.61,0,0.24,N,2,0.1,Low Risk
21,24996,Rent,3.0,Education,B,6000,11.83,0,0.24,N,3,0.04,Low Risk
23,25000,Rent,7.0,Venture,A,6000,7.51,0,0.24,N,2,0.02,Low Risk
22,48000,Mortgage,7.0,Venture,B,6500,10.62,0,0.14,N,3,0.0,Low Risk
25,25000,Rent,1.0,Debt Consolidation,E,6000,16.4,1,0.24,N,2,0.98,High Risk
26,25000,Rent,5.0,Education,A,6000,8.0,0,0.24,N,2,0.04,Low Risk
25,48000,Own,7.0,Education,B,15000,10.25,0,0.31,N,4,0.03,Low Risk
22,48000,Mortgage,4.0,Medical,B,15000,9.88,0,0.31,N,2,0.03,Low Risk
24,25200,Rent,6.0,Medical,A,6000,7.49,0,0.24,N,2,0.04,Low Risk
26,48000,Mortgage,1.0,Venture,B,4200,10.62,0,0.09,N,2,0.01,Low Risk
24,48000,Mortgage,2.0,Education,B,5500,11.36,0,0.11,N,3,0.03,Low Risk
21,25200,Rent,2.0,Education,A,6000,7.49,0,0.24,N,3,0.01,Low Risk
23,25200,Rent,0.0,Home Improvement,C,6000,13.23,1,0.24,Y,4,0.94,High Risk
23,48000,Mortgage,3.0,Venture,B,12000,11.36,0,0.25,N,3,0.0,Low Risk
21,25200,Rent,5.0,Venture,A,6000,8.94,0,0.24,N,3,0.01,Low Risk
25,25200,Rent,0.0,Debt Consolidation,B,6000,9.76,0,0.24,N,3,0.02,Low Risk
24,25800,Rent,0.0,Medical,A,6000,7.14,0,0.23,N,4,0.01,Low Risk
21,26000,Rent,5.0,Debt Consolidation,A,6000,7.49,0,0.23,N,2,0.01,Low Risk
26,26400,Rent,6.0,Personal,B,6000,10.65,0,0.23,N,2,0.06,Low Risk
25,48000,Mortgage,5.0,Home Improvement,A,7800,8.94,0,0.16,N,2,0.05,Low Risk
26,26400,Rent,6.0,Medical,C,6000,6.0,0,0.23,N,4,0.05,Low Risk
22,26400,Rent,0.0,Venture,A,6000,8.59,0,0.23,N,3,0.0,Low Risk
25,26500,Rent,9.0,Personal,B,6000,12.42,0,0.23,N,3,0.12,Low Risk
25,48000,Own,0.0,Venture,A,7500,7.05,0,0.16,N,3,0.0,Low Risk
24,26500,Rent,0.0,Medical,C,6000,13.79,0,0.23,Y,3,0.03,Low Risk
25,26780,Rent,0.0,Debt Consolidation,B,6000,9.25,0,0.22,N,4,0.03,Low Risk
25,27000,Rent,9.0,Venture,B,6000,11.86,0,0.22,N,3,0.01,Low Risk
24,42000,Mortgage,2.0,Debt Consolidation,A,3500,8.94,1,0.08,N,3,0.56,Medium Risk
23,27000,Rent,6.0,Education,C,6000,11.66,0,0.22,N,3,0.06,Low Risk
22,48000,Mortgage,0.0,Personal,B,2800,12.53,0,0.06,N,2,0.03,Low Risk
26,27031,Rent,2.0,Venture,B,6000,9.99,0,0.22,N,4,0.01,Low Risk
24,48000,Mortgage,8.0,Education,A,3100,8.94,0,0.06,N,3,0.07,Low Risk
25,27040,Rent,2.0,Personal,A,6000,7.9,0,0.22,N,2,0.03,Low Risk
23,48000,Own,0.0,Venture,E,15750,16.35,0,0.33,N,3,0.17,Low Risk
22,27600,Rent,2.0,Debt Consolidation,B,6000,10.38,0,0.22,N,4,0.04,Low Risk
